m/z, I
415.17517, 68098
415.19048, 72642
415.35703, 73827
416.15742, 78136
416.16187, 86696
417.04990, 85262
417.13331, 225294
417.16972, 361999
418.14110, 158549
418.17306, 102741
419.14892, 686235
419.18536, 255131
420.15223, 190305
420.15668, 593569
420.18871, 72306
421.12813, 114952
421.16007, 132456
421.16302, 69672
421.16452, 983464
421.16601, 72168
421.20094, 90952
422.16788, 268654
422.17234, 136782
423.14387, 212660
423.18024, 350900
424.18361, 105914
425.13844, 84512
425.15953, 220992
425.19591, 117792
427.15401, 152716
427.17509, 125516
427.35704, 74029
429.13330, 162776
429.15440, 86680
429.16971, 284504
429.37267, 261209
430.14110, 99806
430.17308, 73406
430.37607, 76831
431.14891, 534244
431.18532, 261732
432.15231, 149353
432.15673, 404969
433.12820, 115631
433.16023, 115439
433.16301, 115055
433.16459, 1616111
433.16616, 113263
433.20102, 148911
434.16791, 464245
434.17238, 372853
435.14385, 264634
435.17579, 102074
435.18021, 814074
436.14718, 96352
436.18362, 207936
436.18803, 72288
437.15942, 368773
437.19585, 205445
438.16283, 108939
438.19405, 109259
438.19876, 137963
439.15408, 103280
439.17518, 190800
441.13330, 88314
441.15446, 98139
441.16972, 187867
441.19082, 77083
443.14893, 278949
443.17008, 74053
443.18534, 232933
444.15234, 88106
444.15679, 193642
445.12816, 76527
445.16457, 883503
445.20100, 170223
446.16800, 250676
446.17243, 272692
447.14381, 272057
447.18022, 1079097
447.18190, 77753
447.34686, 115482
448.14725, 83038
448.15170, 140030
448.18362, 302142
448.18805, 141246
449.15946, 661571
449.19589, 468803
450.16287, 217864
450.16732, 228552
450.19927, 150152
451.13882, 77709
451.17065, 80685
451.17513, 513229
451.21159, 93165
452.17845, 138578
453.15440, 134582
453.16974, 102966
453.19081, 155926
455.14893, 148639
455.17000, 107167
455.18533, 122336
456.15683, 91748
457.12821, 76760
457.16461, 503657
457.20103, 132073
458.16783, 180589
458.17248, 196845
459.14380, 225009
459.18018, 882033
459.21655, 103282
460.14725, 72598
460.15165, 91350
460.18364, 288630
460.18808, 166966
461.15948, 641658
461.19588, 739706
462.16287, 175998
462.16730, 159550
462.19915, 230463
462.20366, 68351
463.13885, 84099
463.17514, 712835
463.21156, 251907
464.17843, 202503
464.18287, 92135
464.21482, 85127
465.15442, 160523
465.19080, 389131
466.15687, 71855
466.19411, 107695
467.14888, 99827
467.17002, 188243
467.18531, 108435
467.20643, 100403
468.17786, 96599
469.16455, 272411
469.18564, 75579
469.20093, 101819
470.16795, 90015
470.17240, 107615
471.14392, 167715
471.16503, 72227
471.18031, 593059
471.21671, 74371
472.15161, 79367
472.18357, 204327
472.18803, 145063
473.15944, 458922
473.19586, 780971
474.16289, 140846
474.16732, 168558
474.19929, 249646
474.20373, 98766
475.13874, 68466
475.17515, 922034
475.17703, 76850
475.21156, 411570
476.17845, 283445
476.18290, 151157
476.21484, 140918
477.15442, 193721
477.19078, 741305
477.22722, 112313
478.19416, 226109
478.19856, 82173
479.17002, 276544
479.20641, 320064
480.17333, 73779
480.20973, 93508
481.16455, 106183
481.18569, 139847
481.22215, 83751
482.16092, 68250
483.14378, 97645
483.18020, 217678
484.18362, 84865
485.15950, 290004
485.19591, 395732
486.16286, 88375
486.16737, 111191
486.19195, 77143
486.19754, 72663
486.19927, 135255
487.17514, 724698
487.21154, 351706
488.17837, 220381
488.18287, 126205
488.21481, 109214
489.15439, 146080
489.18870, 78048
489.19074, 1000928
489.19275, 72928
489.22714, 233121
490.19416, 345827
490.19863, 137955
491.17009, 359654
491.20650, 833766
492.17336, 100361
492.20981, 230761
492.21426, 100265
493.18565, 298988
493.22200, 274540
494.18907, 105391
494.22539, 98575
495.16487, 80018
495.18025, 113010
495.20137, 158706
497.15955, 137271
497.18058, 84279
497.19593, 179575
499.17514, 344188
499.21155, 198588
500.17854, 122303
500.18302, 80191
500.21485, 71599
